Accepted Symbol,Scientific Name,Common Name,State and Province,Duration,Growth Hit,Native Status,Invasive,Image Gallery,Active Growth Period,After Harvest Regrowth Rate,Flower Color,Flower Conspicuous,Fruit Color,Fruit Conspicuous,Growth Rate,"Height, Mature (feet)",Lifespan,Toxicity,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Drought Tolerance,Moisture Use,Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End
RHTY,Rhus hirta,,,,,,,Photo,Spring and Summer,,Red,No,Red,Yes,Rapid,30,Short,None,Yes,Yes,No,High,Low,50,20,None,Intermediate,Late Spring,Summer,Summer
RHVI2,Rhododendron viscosum,swamp azalea,"[AL, AR, CT, DC, DE, FL, GA, LA, MA, MD, ME, MS, NC, NH, NJ, NY, OK, PA, RI, SC, TN, TX, VA, VT, WV]",Perennial,Shrub,Native,,Photo,Spring,,Red,Yes,,No,Slow,16,Moderate,None,Yes,Yes,Yes,Medium,High,55,14,None,Tolerant,Indeterminate,Summer,Fall
RIAM2,Ribes americanum,American black currant,"[CO, CT, DC, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NY, OH, PA, RI, SD, VA, VT, WI, WV, WY]",Perennial,Shrub,Native,,Photo,,,Yellow,Yes,Black,No,,3.0,Short,None,Yes,Yes,Yes,High,,60,12,,,Early Spring,Spring,Fall
RIAU,Ribes aureum,golden currant,"[AR, AZ, CA, CO, CT, IA, ID, IL, IN, KS, MA, MD, MI, MN, MO, MT, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VT, WA, WI, WY]",Perennial,Shrub,Native,,Photo,Spring and Summer,,Yellow,Yes,Red,Yes,Moderate,10,Long,None,No,Yes,No,Medium,Low,20,20,None,Intermediate,Mid Spring,Summer,Fall
RICE,Ribes cereum,wax currant,"[AZ, CA, CO, ID, MT, ND, NE, NM, NV, OK, OR, SD, UT, WA, WY]",Perennial,Shrub,Native,,Photo,Spring and Summer,,White,Yes,Red,Yes,Rapid,3.0,Moderate,None,Yes,Yes,No,High,Low,35,12,None,Intolerant,Early Summer,Spring,Fall
RIHU,Ribes hudsonianum,northern black currant,"[AK, CA, IA, ID, MI, MN, MT, NV, OR, UT, WA, WI, WY]",Perennial,Shrub,Native,,Photo,Spring and Summer,,White,No,Black,Yes,Moderate,5.0,Moderate,None,Yes,Yes,No,Medium,High,50,14,None,Intermediate,Late Spring,Spring,Summer
RIIN2,Ribes inerme,whitestem gooseberry,"[AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY]",Perennial,Shrub,Native,,Photo,Spring and Summer,,Green,No,Red,Yes,Moderate,8.0,Long,None,Yes,Yes,No,Low,Medium,24,12,None,Tolerant,Mid Spring,Spring,Spring
RILA,Ribes lacustre,prickly currant,"[AK, CA, CO, CT, ID, MA, ME, MI, MN, MT, NH, NJ, NV, NY, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY]",Perennial,Shrub,Native,,Photo,,,Purple,No,Black,No,Rapid,3.0,Short,None,No,No,No,Low,,120,12,None,Tolerant,Early Spring,Spring,Summer
RIMO2,Ribes montigenum,gooseberry currant,"[AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY]",Perennial,Shrub,Native,,Photo,Spring and Summer,,Red,Yes,Brown,Yes,Rapid,1.0,Moderate,None,Yes,Yes,No,High,Medium,35,12,None,Intermediate,Early Summer,Summer,Fall
RIRO,Ribes roezlii,Sierra gooseberry,"[CA, NV, OR]",Perennial,Shrub,Native,,Photo,Spring and Summer,,White,Yes,Purple,Yes,Moderate,5.0,Long,None,Yes,Yes,No,High,Low,24,16,None,Intermediate,Late Spring,Summer,Summer
RISA,Ribes sanguineum,redflower currant,"[CA, ID, OR, WA]",Perennial,Shrub,Native,,Photo,Spring and Summer,,Red,Yes,Purple,Yes,Moderate,12,Long,None,Yes,Yes,No,Medium,Medium,30,16,None,Intermediate,Late Spring,Summer,Summer
RITR,Ribes triste,red currant,"[AK, CT, IL, MA, ME, MI, MN, MT, ND, NH, NJ, NY, OH, OR, PA, RI, SD, VA, VT, WA, WI, WV]",Perennial,Shrub,Native,,Photo,Summer,,Purple,No,Red,Yes,Moderate,2.0,Short,None,Yes,Yes,No,Low,Medium,60,12,None,Tolerant,Late Spring,Summer,Summer
RIVI,Ribes viburnifolium,island gooseberry,[CA],Perennial,Shrub,Native,,Photo,"Spring, Summer, Fall",,Purple,Yes,Red,Yes,Rapid,3.0,Short,None,Yes,Yes,Yes,High,Low,40,12,None,Tolerant,Mid Spring,Summer,Summer
RIVI3,Ribes viscosissimum,sticky currant,"[AZ, CA, CO, ID, MT, NV, OR, UT, WA, WY]",Perennial,Shrub,Native,,Photo,,,White,Yes,Black,No,Moderate,3.5,Short,None,Yes,Yes,No,Medium,,86,12,None,Intolerant,Late Spring,Spring,Summer
ROAC,Rosa acicularis,prickly rose,"[AK, CO, CT, IA, ID, IL, KS, MA, ME, MI, MN, MT, ND, NH, NM, NY, RI, SD, VT, WI, WV, WY]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,Red,Yes,Red,Yes,Rapid,4.0,Moderate,None,No,Yes,Yes,Low,High,60,6,None,Tolerant,Early Summer,Spring,Fall
ROCA2,Rosa californica,California wildrose,"[CA, OR]",Perennial,Subshrub,Native,,Photo,"Spring, Summer, Fall",,Red,Yes,Red,Yes,Rapid,10,Short,None,Yes,Yes,Yes,Medium,High,40,6,None,Intermediate,Summer,Fall,Fall
ROCA4,Rosa carolina,Carolina rose,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,White,Yes,Red,Yes,Moderate,5.0,Moderate,None,Yes,Yes,No,High,Low,60,12,Medium,Intermediate,Early Summer,Summer,Fall
ROGY,Rosa gymnocarpa,dwarf rose,"[CA, ID, MT, OR, WA]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,Purple,Yes,Red,Yes,Moderate,3.0,Long,None,No,Yes,No,Medium,Medium,24,14,None,Tolerant,Late Spring,Summer,Fall
ROHIF8,Robinia hispida var. fertilis,bristly locust,"[AL, CT, IA, IN, KY, MD, NC, OH, PA, RI, TN, UT, VA]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Purple,No,Black,No,Rapid,7.0,Moderate,None,Yes,Yes,No,High,Low,60,20,None,Intolerant,Late Spring,Summer,Fall
RONE,Robinia neomexicana,New Mexico locust,"[AZ, CA, CO, NM, NV, TX, UT, WY]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Purple,Yes,Brown,Yes,Rapid,25,Moderate,Moderate,Yes,Yes,Yes,Medium,Medium,35,12,Low,Intolerant,Late Spring,Summer,Fall
RONU,Rosa nutkana,Nootka rose,"[AK, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,Red,Yes,Red,Yes,Rapid,10,Moderate,None,No,Yes,Yes,Low,High,125,6,Low,Tolerant,Late Spring,Spring,Fall
ROOF,Rosmarinus officinalis,rosemary,"[CA, NC, OR, SC, TX]",Perennial,"Shrub, Subshrub",Introduced,,Photo,Spring and Summer,,Blue,Yes,Brown,No,Moderate,5.0,Long,None,Yes,Yes,No,High,Low,45,14,Medium,Intolerant,Mid Spring,Spring,Summer
ROPA,Rosa palustris,swamp rose,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV]",Perennial,Subshrub,Native,,Photo,Summer,,Red,Yes,Yellow,Yes,Moderate,8.2,Long,None,No,Yes,Yes,Low,Medium,50,18,None,Tolerant,Spring,Summer,Summer
ROPI2,Rosa pisocarpa,cluster rose,"[CA, ID, OR, WA]",Perennial,Subshrub,Native,,Photo,,,Red,Yes,Red,No,Rapid,3.0,Short,None,Yes,Yes,Yes,Medium,,104,12,None,Intolerant,Summer,Spring,Fall
ROPS,Robinia pseudoacacia,black locust,"[AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,Tree,Native,"Cal-IPC, N'EAST",Photo,Spring,,White,Yes,Black,Yes,Rapid,60,Short,None,Yes,Yes,Yes,High,Medium,65,36,Medium,Intolerant,Spring,Spring,Summer
RORU,Rosa rugosa,rugosa rose,"[AK, CT, DE, IL, MA, MD, ME, MI, MN, MO, NH, NJ, NY, OH, PA, RI, VA, VT, WA, WI, WV]",Perennial,Subshrub,Introduced,STATE,Photo,Spring and Summer,,Red,Yes,Red,Yes,Moderate,5.0,Long,None,Yes,Yes,No,High,Medium,60,14,Low,Intolerant,Mid Spring,Spring,Fall
RORU82,Rosa rubiginosa,sweetbriar rose,"[AL, AR, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,Subshrub,Introduced,,,,,,,,,,,,,,,,,,,,,,,,
RORU82,Rosa eglanteria,,,,,,,Photo,Spring and Summer,,Red,Yes,Purple,Yes,Moderate,10,Moderate,None,Yes,Yes,Yes,Medium,Medium,45,20,Medium,Intolerant,Early Summer,Summer,Fall
ROSE2,Rosa setigera,climbing rose,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV]",Perennial,"Vine, Subshrub",Native,,Photo,Spring,,White,Yes,Red,Yes,Rapid,16,Moderate,None,Yes,Yes,No,High,Low,60,6,None,Intolerant,Spring,Summer,Fall
ROSI2,Rorippa sinuata,spreading yellowcress,"[AR, AZ, CA, CO, IA, ID, IL, KS, KY, LA, MD, MN, MO, MT, ND, NE, NM, NV, NY, OK, OR, SD, TX, UT, WA, WI, WY]",Perennial,Forb/herb,Native,NE&GP,Photo,Spring and Summer,Slow,Yellow,Yes,Brown,No,Moderate,1.0,Short,None,Yes,Yes,No,Low,Medium,38,11,None,Intolerant,Indeterminate,Spring,Summer
ROVI2,Rosa virginiana,Virginia rose,"[AL, AR, CT, DC, DE, GA, IL, KY, MA, MD, ME, MO, NC, NH, NJ, NY, PA, RI, TN, VA, VT]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,Purple,Yes,Red,Yes,Moderate,6.0,Moderate,None,Yes,Yes,No,Low,Medium,55,16,None,Intermediate,Late Spring,Summer,Summer
ROWO,Rosa woodsii,Woods' rose,"[AK, AZ, CA, CO, IA, ID, KS, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,Red,Yes,Red,Yes,Rapid,3.0,Long,None,Yes,Yes,No,Medium,Medium,40,12,Low,Intermediate,Late Spring,Summer,Fall
RUAL,Rubus allegheniensis,Allegheny blackberry,"[AL, AR, CA, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,White,Yes,Black,Yes,Rapid,6.0,Short,None,No,Yes,Yes,High,Medium,48,12,None,Tolerant,Mid Spring,Summer,Summer
RUAL9,Rubus alumnus,oldfield blackberry,"[AR, CT, DC, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, TN, VA, WI, WV]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,White,Yes,Black,Yes,Rapid,5.0,Moderate,None,Yes,Yes,Yes,Medium,Medium,50,8,None,Intermediate,Mid Spring,Spring,Summer
RUAR,Rubus arcticus,arctic raspberry,"[AK, CO, ME, MI, MN, MT, OR, WA, WY]",Perennial,"Subshrub, Forb/herb",Native,,Photo,Spring,,Red,No,Red,No,Moderate,1.0,Short,Slight,Yes,No,No,Low,,79,12,None,Intolerant,Summer,Summer,Fall
RUAR2,Rubus argutus,sawtooth blackberry,"[AL, AR, CT, DE, FL, GA, HI, IL, IN, KY, LA, MA, MD, ME, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV]",Perennial,Subshrub,Native,"HEAR, N'EAST, STATE",Photo,Spring,,White,Yes,Black,Yes,Rapid,8.2,Moderate,None,Yes,Yes,Yes,Medium,Medium,50,12,None,Intolerant,Spring,Summer,Fall
RUBA2,Rubus baileyanus,Bailey's dewberry,"[CT, DC, IL, IN, KY, MA, MD, MI, MN, MO, NC, NJ, NY, OH, PA, RI, TN, VA, WI, WV]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,White,Yes,Black,Yes,Moderate,5.0,Moderate,None,Yes,Yes,Yes,Medium,High,50,8,None,Intermediate,Mid Spring,Spring,Summer
RUCU,Rubus cuneifolius,sand blackberry,"[AL, CT, DC, DE, FL, GA, LA, MA, MD, MS, NC, NH, NJ, NY, PA, SC, TN, VA]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,White,Yes,Black,Yes,Moderate,3.0,Short,None,Yes,Yes,No,Low,Medium,50,10,None,Intermediate,Mid Spring,Spring,Summer
RUFL,Rubus flagellaris,northern dewberry,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,White,Yes,Black,Yes,Rapid,3.0,Short,None,Yes,Yes,Yes,Low,High,40,6,None,Intermediate,Late Spring,Summer,Fall
RUHI,Rubus hispidus,bristly dewberry,"[CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WA, WI, WV]",Perennial,Subshrub,Native,,Photo,Spring,,White,Yes,Black,Yes,Moderate,2.0,Moderate,None,Yes,Yes,Yes,Medium,High,70,12,None,Intolerant,Spring,Spring,Summer
RUHI2,Rudbeckia hirta,blackeyed Susan,"[AK, AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]","Annual, Biennial, Perennial",Forb/herb,Native,SWSS,Photo,"Fall, Winter and Spring",,Orange,Yes,Brown,No,Rapid,1.0,Short,None,No,Yes,Yes,Medium,Medium,65,10,None,Intolerant,Summer,Summer,Summer
RUHU,Ruellia humilis,fringeleaf wild petunia,"[AL, AR, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, OH, OK, PA, TN, TX, VA, WI, WV]",Perennial,Forb/herb,Native,,Photo,Summer,Slow,Purple,Yes,Yellow,No,Moderate,2.6,Short,None,Yes,Yes,Yes,Medium,Low,55,4,None,Tolerant,Summer,Summer,Fall
RUID,Rubus idaeus,American red raspberry,"[AK, AR, AZ, CA, CO, CT, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY]",Perennial,Subshrub,Introduced,,Photo,Spring,,White,No,Red,Yes,Moderate,6.0,Short,Slight,No,No,No,High,,104,12,None,Tolerant,Spring,Summer,Summer
RULA,Rubus laciniatus,cutleaf blackberry,"[CA, CO, CT, DC, DE, ID, IL, IN, KY, MA, MD, MI, MO, MT, NC, NJ, NY, OH, OR, PA, RI, SC, TN, VA, VT, WA, WV, WY]",Perennial,"Vine, Subshrub",Introduced,N'EAST,Photo,Spring and Summer,,White,Yes,Black,Yes,Rapid,12,Short,None,No,Yes,Yes,Low,Medium,45,12,None,Tolerant,Early Summer,Summer,Fall
RULA3,Rudbeckia laciniata,cutleaf coneflower,"[AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,"Subshrub, Forb/herb",Native,,Photo,Spring,Moderate,Yellow,Yes,Brown,No,Rapid,8.2,Short,None,Yes,Yes,Yes,High,Low,55,12,None,Tolerant,Late Summer,Fall,Fall
RULE,Rubus leucodermis,whitebark raspberry,"[AK, AZ, CA, ID, MT, NM, NV, OR, UT, WA]",Perennial,"Subshrub, Vine",Native,,Photo,Spring and Summer,,White,Yes,Black,Yes,Rapid,1.0,Short,None,Yes,Yes,Yes,Low,Medium,60,12,None,Intolerant,Late Spring,Summer,Fall
RUNI3,Rudbeckia nitida,shiny coneflower,"[AL, FL, GA]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Rapid,Yellow,Yes,Black,No,Rapid,5.0,Short,None,Yes,Yes,Yes,Low,High,40,6,None,Intermediate,Late Spring,Summer,Fall
RUOC,Rubus occidentalis,black raspberry,"[AL, AR, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,White,Yes,Purple,Yes,Rapid,6.0,Short,None,No,Yes,Yes,Medium,Medium,45,12,None,Intermediate,Mid Spring,Summer,Summer
RUOD,Rubus odoratus,purpleflowering raspberry,"[AL, CT, DC, DE, GA, IL, IN, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WA, WI, WV]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,Purple,Yes,Red,Yes,Rapid,5.0,Short,None,Yes,Yes,Yes,Medium,Medium,55,16,None,Intermediate,Late Spring,Summer,Summer
RUPA,Rubus parviflorus,thimbleberry,"[AK, AZ, CA, CO, IA, ID, IL, MA, MI, MN, MT, NM, NV, OR, SD, UT, WA, WI, WY]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,White,Yes,Red,Yes,Rapid,4.0,Moderate,None,No,Yes,Yes,Medium,High,45,12,None,Intermediate,Spring,Spring,Summer
RUSP,Rubus spectabilis,salmonberry,"[AK, CA, ID, OR, WA]",Perennial,"Vine, Subshrub",Native,,Photo,Spring and Summer,,Purple,Yes,Red,Yes,Moderate,12,Moderate,None,No,Yes,Yes,High,Medium,24,10,None,Intermediate,Early Spring,Spring,Spring
RUST2,Ruellia strepens,limestone wild petunia,"[AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NE, NJ, OH, OK, PA, SC, TN, TX, VA, WV]",Perennial,Forb/herb,Native,,Photo,Spring,Slow,Purple,Yes,Yellow,No,Moderate,3.6,Short,None,No,Yes,Yes,Medium,Low,60,6,None,Tolerant,Early Spring,Summer,Summer
RUUR,Rubus ursinus,California blackberry,"[CA, ID, MT, OR, WA]",Perennial,Subshrub,Native,,Photo,Spring and Summer,,White,Yes,Black,Yes,Rapid,2.0,Short,None,Yes,Yes,Yes,Medium,Medium,24,14,None,Intolerant,Early Spring,Spring,Summer
SA3,Salix barclayi,Barclay's willow,"[AK, CO, ID, MT, WA, WY]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,White,No,,No,Rapid,15,Moderate,None,Yes,Yes,Yes,Low,High,60,16,None,Intolerant,,,
SAAL2,Salix alba,white willow,"[AK, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, PA, RI, SD, TN, VA, VT, WA, WI, WV, WY]",Perennial,Tree,Introduced,,Photo,Spring and Summer,,Yellow,No,White,No,Rapid,70,Moderate,None,Yes,Yes,Yes,Low,High,90,24,Medium,Intolerant,Early Spring,Spring,Spring
SAAL5,Sassafras albidum,sassafras,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Yellow,Yes,Blue,No,Moderate,75,Moderate,None,Yes,Yes,No,High,Low,80,18,None,Intolerant,Late Spring,Summer,Summer
SAAM2,Salix amygdaloides,peachleaf willow,"[AZ, CO, IA, ID, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, WA, WI, WY]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,White,No,,No,Rapid,60,Short,None,Yes,Yes,No,Low,High,60,30,None,Intolerant,Late Spring,Spring,Spring
SAAZG,Salvia azurea var. grandiflora,pitcher sage,"[AL, AR, CO, CT, GA, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, NM, NY, OH, OK, TN, TX, UT, WI]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Slow,Blue,Yes,Brown,No,Rapid,3.0,Moderate,None,No,Yes,Yes,Low,Medium,24,14,None,Intolerant,Spring,Summer,Fall
SABO2,Salix boothii,Booth's willow,"[AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY]",Perennial,Shrub,Native,,Photo,Spring and Summer,,Green,No,Black,No,Rapid,24,Moderate,None,Yes,Yes,Yes,Low,High,125,12,None,Tolerant,Late Spring,Summer,Fall
SABR,Salix brachycarpa,shortfruit willow,"[CA, CO, ID, MT, NM, OR, UT, WA, WY]",Perennial,Shrub,Native,,Photo,,,,No,,No,,3.6,Short,Slight,Yes,Yes,No,Low,,90,12,None,,,,
SACA4,Salix candida,sageleaf willow,"[AK, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NJ, NY, OH, PA, SD, VT, WA, WI, WY]",Perennial,Shrub,Native,,Photo,Spring and Summer,,Green,No,Brown,No,Rapid,6.0,Moderate,None,Yes,Yes,Yes,Low,High,55,18,None,Intermediate,Late Spring,Spring,Summer
SACA5,Salix caroliniana,coastal plain willow,"[AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV]",Perennial,Tree,Native,,Photo,Spring,,Green,No,White,No,Rapid,33,Long,None,Yes,Yes,Yes,Medium,High,60,20,None,Intermediate,Early Spring,Spring,Spring
SADI,Salix discolor,pussy willow,"[CO, CT, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NY, OH, PA, RI, SD, VA, VT, WI, WV, WY]",Perennial,"Tree, Shrub",Native,,Photo,Spring,,White,No,,No,Rapid,40,Long,None,Yes,Yes,Yes,Low,High,50,20,None,Tolerant,Winter,Spring,Spring
SADO4,Salvia dorrii,purple sage,"[AZ, CA, ID, NV, OR, UT, WA]",Perennial,"Subshrub, Shrub",Native,,Photo,Spring and Summer,,Blue,No,White,No,Moderate,2.5,Short,None,Yes,Yes,No,Medium,Medium,14,14,Low,Intolerant,Late Spring,Spring,Summer
SADR,Salix drummondiana,Drummond's willow,"[CA, CO, ID, MT, NM, NV, OR, UT, WA, WY]",Perennial,Shrub,Native,,Photo,Spring and Summer,,Yellow,No,,No,Rapid,12,Long,None,Yes,Yes,Yes,Low,High,40,20,None,Intermediate,Early Spring,Spring,Summer
SAEX,Salix exigua,narrowleaf willow,"[AZ, CA, CO, ID, KS, MT, NM, NV, OR, TX, UT, WA, WY]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Yellow,No,White,No,Rapid,10,Moderate,None,Yes,Yes,No,Medium,High,30,20,Low,Intermediate,Early Spring,Summer,Spring
SAGO,Salix gooddingii,Goodding's willow,"[AZ, CA, CO, NM, NV, TX, UT]",Perennial,Tree,Native,,Photo,Spring and Summer,,Green,No,Brown,No,Rapid,40,Moderate,None,Yes,Yes,No,Medium,High,55,28,None,Intolerant,Early Spring,Spring,Spring
SAHU2,Salix humilis,prairie willow,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV]",Perennial,Shrub,Native,,Photo,Spring and Summer,,Yellow,No,Brown,No,Rapid,10,Moderate,None,Yes,Yes,No,Low,High,60,10,None,Intermediate,Spring,Summer,Summer
SAIN3,Salix interior,sandbar willow,"[AK, AR, CO, CT, DC, DE, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NJ, NY, OH, OK, PA, SD, TN, VA, VT, WI, WV, WY]",Perennial,"Shrub, Tree",Native,,Photo,Spring,,Green,No,Brown,Yes,Rapid,30,Short,None,No,No,Yes,Low,,70,36,None,Intolerant,Early Spring,,Spring
SALE,Salix lemmonii,Lemmon's willow,"[CA, CO, ID, MT, NV, OR, WA, WY]",Perennial,Shrub,Native,,Photo,Spring and Summer,,Yellow,No,,No,Rapid,14,Long,None,Yes,Yes,Yes,Low,High,40,20,None,Intermediate,Early Spring,Spring,Summer
SALU,Salix lucida,shining willow,"[AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY]",Perennial,"Shrub, Tree",Native,,Photo,Spring and Summer,,Yellow,No,Brown,No,Rapid,13,Moderate,None,No,Yes,Yes,Low,High,60,10,None,Intermediate,Spring,Spring,Summer
SALU2,Salix lutea,yellow willow,"[AZ, CA, CO, IA, ID, KS, MN, MO, MT, ND, NE, NV, OR, SD, UT, WY]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Yellow,No,Brown,No,Rapid,16,Moderate,None,Yes,Yes,Yes,Low,High,60,10,None,Intermediate,Spring,Spring,Summer
SALUL,Salix lucida ssp. lasiandra,Pacific willow,"[AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Green,No,Yellow,No,Rapid,53,Short,None,Yes,No,Yes,Low,,24,36,Low,Intolerant,Spring,Spring,Summer
SAMI3,Sanguisorba minor,small burnet,"[AL, AZ, CA, CO, CT, DE, ID, IL, IN, KY, MA, MD, ME, MI, MT, NC, NE, NJ, NM, NV, NY, OH, OR, PA, RI, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,Forb/herb,Introduced,,Photo,Spring,Slow,Red,Yes,Brown,No,Moderate,1.3,Short,None,Yes,Yes,Yes,Low,Medium,25,12,Medium,Intermediate,Early Spring,Spring,Summer
SAMO2,Salix monticola,park willow,"[AZ, CO, NM, UT, WY]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,White,Yes,Brown,Yes,Moderate,12,Short,None,Yes,No,No,Medium,Low,18,36,None,Intolerant,Late Spring,Summer,Summer
